Target Pages: Total Pages: 107 | Compiled Pages: Total Pages: 107

Idx  | Target Title / Section                                            | Target | Compiled | Diff
-----------------------------------------------------------------------------------------------
0    | Level 1: General Introduction                                     | 15     | 15     | 0   
1    | Level 1: General Presentation of the Project                      | 16     | 16     | 0   
2    | Level 2: Introduction                                             | 16     | 16     | 0   
3    | Level 2: Host Organization                                        | 16     | 16     | 0   
4    | Level 3: Company Presentation                                     | 16     | 16     | 0   
5    | Level 3: Core Activities                                          | 16     | 16     | 0   
6    | Level 2: Preliminary Study                                        | 17     | 17     | 0   
7    | Level 3: Industrial Context                                       | 17     | 17     | 0   
8    | Level 3: Problem Statement                                        | 17     | 17     | 0   
9    | Level 3: Analysis of Existing Solutions                           | 18     | 18     | 0   
10   | Level 2: Adopted Software Development Methodology                 | 22     | 22     | 0   
11   | Level 3: Methodological Rationale                                 | 22     | 22     | 0   
12   | Level 3: The Scrum Framework                                      | 22     | 22     | 0   
13   | Level 3: Project Roles and Mapping                                | 22     | 22     | 0   
14   | Level 3: Scrum Events and Artifacts                               | 23     | 23     | 0   
15   | Level 2: UML Modeling Approach                                    | 24     | 25     | 1   
16   | Level 2: Conclusion                                               | 25     | 25     | 0   
17   | Level 1: Architecture, Tools and Development Environment          | 26     | 26     | 0   
18   | Level 2: Introduction                                             | 26     | 26     | 0   
19   | Level 2: Requirements Capture                                     | 26     | 26     | 0   
20   | Level 3: Actors Identification                                    | 26     | 26     | 0   
21   | Level 3: Functional Requirements                                  | 27     | 27     | 0   
22   | Level 3: Non-Functional Requirements                              | 27     | 27     | 0   
23   | Level 3: Product Backlog                                          | 28     | 28     | 0   
24   | Level 2: Diagrams                                                 | 31     | 31     | 0   
25   | Level 3: Global Use Case Diagram                                  | 31     | 31     | 0   
26   | Level 3: Global Class Diagram                                     | 33     | 34     | 1   
27   | Level 3: Application Architecture                                 | 34     | 34     | 0   
28   | Level 2: Tools and Development Environment                        | 36     | 36     | 0   
29   | Level 3: Hardware Environment                                     | 36     | 36     | 0   
30   | Level 3: Technical Environment                                    | 36     | 36     | 0   
31   | Level 2: Conclusion                                               | 37     | 37     | 0   
32   | Level 1: Release 1 : Authentication and User Management           | 38     | 38     | 0   
33   | Level 2: Introduction                                             | 38     | 38     | 0   
34   | Level 2: Sprint Backlog – Authentication and User Management      | 38     | 38     | 0   
35   | Level 2: Refinement of Use Cases                                  | 39     | 39     | 0   
36   | Level 3: Refinement of Sprint 1 Use Cases                         | 39     | 39     | 0   
37   | Level 3: Class Diagram                                            | 43     | 43     | 0   
38   | Level 3: Sequence Diagrams                                        | 44     | 43     | -1  
39   | Level 2: User Interface Overview                                  | 46     | 45     | -1  
40   | Level 3: Web Application Interfaces                               | 46     | 46     | 0   
41   | Level 3: Mobile Application Interfaces                            | 49     | 48     | -1  
42   | Level 2: Conclusion                                               | 49     | 48     | -1  
43   | Level 1: Release 2 : Product Management, Guides, and Content approval | 50     | 50     | 0   
